WebAssembly,TypeScript,JavaScript,Browser
13.666666666666666,36.333333333333336,29.666666666666668,Chrome
14.333333333333334,36.0,30.333333333333332,Chrome
15.333333333333334,37.666666666666664,32.333333333333336,Chrome
15.666666666666666,38.333333333333336,34.333333333333336,Chrome
16.333333333333332,39.0,35.0,Chrome
16.333333333333332,41.0,35.333333333333336,Chrome
16.666666666666668,41.333333333333336,35.666666666666664,Chrome
16.333333333333332,42.333333333333336,36.0,Chrome
17.666666666666668,43.666666666666664,38.333333333333336,Chrome
17.666666666666668,44.0,37.0,Chrome
17.666666666666668,46.0,38.666666666666664,Chrome
18.0,46.666666666666664,41.333333333333336,Chrome
19.333333333333332,47.666666666666664,40.666666666666664,Chrome
19.333333333333332,48.666666666666664,41.333333333333336,Chrome
20.333333333333332,50.333333333333336,44.333333333333336,Chrome
